id,price,baths,rooms,sqft,description,location
103903400,2290000,3,3,184,"Luxury property with designer renovation in Justice Prime. Engel & Völkers offers this beautiful luxury exterior apartment with four balconies on one of the best streets in the prime area of the Justice neighborhood, featuring three spacious bedrooms, all en suite. This elegant and exclusive property, located on the second floor with an elevator, overlooks one of the best streets in the Justice neighborhood and is situated in a lovely classical building next to Plaza de las Salesas. 

It offers a large and spacious living-dining room with three large windows with balconies and an independent designer kitchen with a fourth balcony, equipped with luxury appliances. The resting area consists of three spacious bedrooms, all en suite with beautiful and very spacious bathrooms, overlooking three landscaped patios—a luxury in the heart of the city! The property features original elements such as fireplaces, carved columns, and woodwork, along with high ceilings. All this is combined with a modern luxury renovation carried out with high-quality materials. 

This property is ideal for anyone looking to live in a luxury residence in the best area of Justice or for investment purposes. Do not hesitate to contact us to visit this exclusive property! Engel & Völkers offers this fantastic property in the central Justice neighborhood, specifically in the Salesas area, one of the most sought-after areas in the heart of the capital. 

This area has a characteristic atmosphere of luxury, chic, and bohemian charm, while also concentrating an exquisite cultural, gastronomic, and fashion offer that is out of the ordinary. Boutiques with an enviable selection of design and quality at mid-high prices, distinguished art galleries and antique shops, charming bookstores, renowned restaurants, as well as new-generation gastro-bars, small cafes, and specialty food shops, including the well-known San Antón market, along with the stunning architectural offering of its buildings, have made the Justice neighborhood one of the most coveted in Madrid, attracting a high socio-cultural audience. 

The Justice district, named after the Court of Justice located in Plaza de París in the Salesas neighborhood, is ideally situated between the noble and prestigious neighborhoods of Recoletos, Salamanca, and Almagro in Chamberí, which have always formed the most elegant and aristocratic belt of the city. Well-connected with excellent public transport, it offers numerous bus lines, as well as access to the nearest metro stations of Alonso Martínez and Colón.",Chueca-Justicia
102662115,245000,1,1,70,"LA CASA Agency Imperial offers this property on Manzanares Street, a location that places us in one of the most traditional and emblematic areas of the capital. This location also brings us to the heart of Madrid Río. Situated on the ground floor, its exterior exposure and high ceilings stand out. It features electric heating and air conditioning. The property has 70 m² of constructed space. It is a concept designed to optimize square meters and open spaces; the entrance leads directly into the living-dining area with kitchen, one bedroom, double-glazed climalit windows (notably featuring effective thermal and acoustic insulation), and a complete bathroom with shower. In short, an excellent opportunity to purchase a very cozy and bright home, in a magnificent location. Located just a few meters from Madrid Río, Parque de Atenas, the Almudena Cathedral, the Royal Basilica of San Francisco el Grande, El Rastro de Madrid, and the Jardín de las Vistillas, among others. It is also close to green areas, parks, and all kinds of services. Just 5 minutes from the historical center of the city, Madrid de los Austrias. At LA CASA Agency, we work to provide our clients with the best properties in Madrid, with specialized teams in each area to offer them the best options to meet their needs. A personalized service, where we pay attention to the details.",Imperial
98711049,330000,2,2,80,"RENTED - FOR SALE WITH TENANT / NO SALES COMMISSION FOR THE BUYER. Beautiful furnished home next to Plaza de la Luna and Gran Vía in Madrid, a historic neighborhood that captivates both its residents and tourists. Furnished and completely renovated. The property, measuring 80m2 according to the land registry, consists of a living-dining room, a separate kitchen equipped with appliances + ceramic hob, an independent bedroom with a large built-in wardrobe and en-suite bathroom, a second bedroom (currently used as an office), and a small separate toilet. All rooms in the house have windows, as well as heating and cooling air conditioning and beautiful designer furniture. Elegant building without an elevator and with a physical doorman. Excellent transport connections! Metro almost at the door (Callao) and various bus lines, in addition to being very close to Gran Vía and Santo Domingo. Malasaña is a vibrant area with cafés, bakeries, and vintage clothing stores; a trendy neighborhood among young people looking to live in the heart of Madrid. *If we don't answer your call, you can send us a WhatsApp (!)*",Malasaña-Universidad
103863614,770000,2,4,123,"FABULOUS AND SPACIOUS EXTERIOR APARTMENT IN CONDE DUQUE! No fees for the buyer. A spacious and bright exterior apartment is for sale in one of the most sought-after areas of central Madrid, on the border of the Malasaña-Universidad and Argüelles-Moncloa neighborhoods, right next to the Conde Duque cultural center, which highlights its unbeatable location in terms of services and public transport. It is exterior and located on a bright fourth floor with an elevator, in a beautiful representative building in the center of Madrid, featuring 4 balconies overlooking the street. It is in good condition and ready to move in, although you can update it and change its layout, turning it into the home of your dreams. The property has 123 m2 of built space, consisting of 4 bedrooms, a living room, a kitchen, one bathroom, and a guest toilet. It includes 3 built-in wardrobes, 4 balconies on the facade, 1 bay window in the master bedroom, and a kitchen equipped with all appliances. The floors are parquet, the windows are wooden with Climalit-type glass, and the ceilings are high. Heating is individual electric with accumulators, and hot water is supplied by a natural gas boiler. Its location is excellent, surrounded by all kinds of essential services and leisure activities. Just a step away from Calle Princesa, Calle San Bernardo, and Plaza de España. With schools nearby, supermarkets, El Corte Inglés, shops of all kinds, great restaurants, a library, museums, theaters, parks, and everything you can imagine. Perfectly connected by public transport, with the metro stations Plaza España, Noviciado, and Ventura Rodríguez just 5 minutes away on foot. Multiple bus lines are also available. Don’t miss this opportunity and come visit! 

About the area and transport: Universidad is a neighborhood belonging to the Centro district of Madrid. Its boundaries are the street of Alberto Aguilera and Carranza to the north; Fuencarral street to the east; Gran Vía street to the south; and Calle Princesa to the west. Also known as the neighborhood of Las Maravillas (named after the Church of Our Lady of Las Maravillas located within it) and colloquially called Malasaña, it offers an alternative atmosphere and numerous venues for nightlife; it is the setting for the “Movida madrileña” that took place in the 1970s and 1980s. It features old buildings and narrow streets. In its central part lies the well-known Plaza del Dos de Mayo, and its main axis is San Bernardo street. The best transport option is the metro (Plaza España, Noviciado, Tribunal, Gran Vía, Callao, Bilbao, San Bernardo, Ventura Rodríguez, and Argüelles).",Malasaña-Universidad
103369764,870000,3,3,314,"GILMAR Consulting Real Estate Conde Orgaz exclusively offers this independent chalet of 300 m² built, to be renovated, with great potential, located on a 300 m² plot, in the best area of Valdebebas-Cárcavas. The home is currently distributed over three floors; on the first floor, there are 3 bedrooms and 2 bathrooms, a large kitchen office, and a living-dining room with access to a pleasant terrace. The ground floor is currently used as an open warehouse/storage space, with a bathroom and 5-meter high ceilings. The basement is also completely open for use as a garage and for other purposes. It is important to emphasize the vast possibilities of this property to renovate, which could be transformed into an impressive primary residence, co-living spaces, demolished for new construction, etc. This is undoubtedly a great opportunity for both a primary residence and a business in one of the most promising and luxurious areas of Madrid. It is strategically located in one of the main expansion/luxury/prime areas of the capital. An exceptional residential location, just a few meters away from the iconic areas of influence of the airport and IFEMA. The connectivity is excellent; nearby you can find shopping centers (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parks (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), sports clubs (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), schools (Liceo Francés, San José del Parque - Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora Santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto Saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), business parks (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), business areas (the golden technological mile of Madrid, the so-called Silicon Valley of Madrid, an environment with over 200 companies in the tech sector, filled with data centers and kilometers of fiber optic), hospitals (Universidad de Navarra Clinic, etc.), corporate headquarters (VODAFONE, Banco Popular, ABC, EL PAIS, Property Registries of Madrid, Bank of Spain, CSIF, Telefónica, Liberty Seguros, AENA, Courts, General Directorate of Traffic, etc.), hotels (Melia, Hilton, Barceló, Confortel, IBIS, etc.), exhibition centers - IFEMA, etc. With direct access to the M-30 and M-40 highways, and just 5 minutes from downtown Madrid and Adolfo Suárez Madrid-Barajas International Airport. At Gilmar, we work to offer our clients the best properties in Madrid, with specialized teams in each area to provide them with the best options for their needs, paying close attention to detail.",Hortaleza
103794965,1200000,2,3,140,"Spacious and quiet exterior apartment, very bright, with four balconies facing the street in the Cortes area. It is organized into a very large living-dining room, an independent kitchen, and three double bedrooms, the main one featuring a dressing room and an ensuite bathroom. There is also a second full bathroom. The kitchen is fully equipped (with refrigerator, washing machine, vitroceramic hob, oven, microwave, and dishwasher). The location of this completely renovated building in 2003 is excellent. Just 3 minutes from the Royal Botanical Garden, the Prado Museum, and 10 minutes from Retiro Park. Close to the Basilica of Jesus of Medinaceli, Santa Ana Square (known for its numerous restaurants, cafés, and tapas bars), and the Canalejas Gallery: the icon of luxury in the center of Madrid. Public transport connections are unmatched. (EMT: 001, 10, 14, 27, 34, 37, 45, N9, N10, N11, N13, N12, N14, N15, N17, N25, N26, and Metro: Anton Martin, Sevilla, and Banco de España) With the option of a parking space in the same building. This is undoubtedly a unique opportunity to live in one of the best areas in the center of Madrid.",Centro
100313608,1500000,2,2,168,"Semi-new apartment with two units

We have an excellent opportunity for anyone looking to invest in a luxury area known for its high quality. The building is located on one of the most emblematic streets in Madrid. With an east orientation and large windows that allow us to enjoy natural light in a setting surrounded by green spaces. This property is divided into 2 independent one-bedroom apartments, each with a bathroom, kitchen, a spacious living room, and a built area of 84 m². The price includes an above-ground parking space and a large storage room. The property has been fully renovated with top-quality materials in a building located in the best area of El Viso. The level of finishes in the kitchen and bathrooms, as well as the enclosures and flooring, make for a high-standard ensemble.

The property is situated in the residential neighborhood of El Viso, within the Chamartín district, to the north of the capital. El Viso is one of the most luxurious residential neighborhoods in Madrid. Its high-income population consists of entrepreneurs, diplomats, executives, etc., which is reflected in the type of homes that are among the most valued in central Madrid. It is a very quiet area, well-maintained with nearby green spaces and enjoys excellent communication with the rest of the city. Additionally, the neighborhood is regulated as a S.E.R. parking zone, providing more convenience for residents. The Chamartín district offers a wide range of services, from large department stores, shops, pharmacies, schools, churches, gyms, hotels, sports areas, to a selection of the best bars and restaurants in Madrid. Chamartín hosts several embassies and important public administrations. The public transport system ensures maximum comfort for residents, as there are currently about 50 bus lines, 7 metro lines, and two commuter train stations. The Chamartín station is also a terminal for most medium and long-distance trains heading to northern Spain. Other points of interest include the National Auditorium of Music, the Santiago Bernabéu football stadium, several museums, and the Berlin Park.",Chamartín
91584168,2490000,4,4,593,"Don’t miss the opportunity to acquire this fabulous apartment in very good condition, ready to be your new home! Gilmar Real Estate Viso-Chamartín presents this spectacular ground floor in Nueva España with all the amenities you are looking for. With a built area of 593 square meters, this impressive home features 4 bedrooms and 4 bathrooms, offering space and comfort for the whole family. The ground floor is exterior and very bright, highlighting its large windows that allow natural light to flow into all rooms. 

Upon entering, you will be greeted by a spacious living room and a well-equipped kitchen with high-quality finishes, providing you with an ideal space to enjoy gatherings and prepare delicious meals. You will also find a guest bathroom on this floor. 

On the first floor, you will discover four bedrooms, two of which are en suite, with the master bedroom featuring a dressing room and a full bathroom with a jacuzzi, creating a luxurious and comfortable atmosphere. 

In addition to all these features, the home comes with built-in wardrobes and a storage room for added convenience and storage space. It also includes a parking space, ensuring a safe and comfortable spot for your vehicle. 

Built in 2014, this apartment is in excellent condition, ready to be handed over empty and personalized according to your preferences. The home has individual heating with a hot/cold pump and air conditioning, ensuring a pleasant environment year-round. 

Additionally, you can enjoy the common areas offered by the building, including a heated swimming pool, jacuzzi, and sauna, as well as changing rooms and bathrooms for added comfort and entertainment. 

Don’t miss this opportunity to acquire an apartment in Nueva España with all the comforts and amenities you need. Contact us today for more information and to schedule a visit to this exclusive property! 

We have over 30 offices in Madrid, Marbella, Estepona, Puerto Banús, Sevilla, Cádiz, Jerez, and the Canary Islands. Our headquarters is located at Calle Goya, 47. For more than 38 years, we have demonstrated our professionalism and exquisite attention to detail. 

Gilmar has over 4,000 properties for sale, including second-hand apartments, new homes, chalets, villas, and rural estates. Visit our website and find the best real estate investment with the help of the best professionals in the real estate sector. 

Viso-Chamartín Office: Nueva España, El Viso, Bernabéu-Hispanoamérica, Pío XII, and Castilla. Call us; we will help you find the home of your dreams. The best investment options to maximize your money.",Chamartín
103565782,850000,2,3,164,"Spectacular apartment in San Juan Bautista. Engel & Völkers presents this exclusive, fully renovated, exterior property with excellent qualities ready to move in, located in San Juan Bautista, the best area of Arturo Soria. It consists of three bedrooms, one of which has an en suite bathroom, a second bathroom serving the other two bedrooms, and a walk-in closet. It also features a closed kitchen with integrated appliances and an office area. Next, we enter the living-dining room, which is illuminated by a large window, providing a spectacular influx of natural light. 

A standout feature of this property is its ample storage space, as the storage room is integrated within the home. The hallway is equipped with wardrobes along its entire length, thus providing a unique storage space, truly a luxury. The parking leads directly to the property through the elevator and freight lift, which is very convenient. It is situated on the third floor of the building, surrounded by a private gardened plot with trees, ensuring relaxing views and the absence of noise. Therefore, the development offers excellent communal areas with an outdoor pool, basketball court, table tennis, bicycle parking, a booth with a concierge, and 24-hour security 365 days a year. It also features an additional garbage collection service in the landing for added convenience. 

The price of the property includes a parking space in the basement and an extra storage space in the communal areas. Unmatched communication: Immediate access to the M30, M40, and NII, Av. de la Paz metro station (500m) and Arturo Soria (900m), 10 minutes from downtown Madrid, 12 minutes from the airport, and numerous bus lines (53, 1, N3...). 

Privileged location: Arturo Soria – San Juan Bautista. The Arturo Soria neighborhood is one of the most prestigious in the community, considered one of the best areas to live in Madrid. It has several public, private, and bilingual schools, as well as daycare centers. In the immediate vicinity are some of the best national and international educational institutions (Lycée Français, Numont, San José del Parque…), vocational training centers, and renowned business schools (ESIC). 

In addition to its extensive cultural offerings, the neighborhood has numerous services and businesses (Carrefour Express, Mercadona, Covirán, DIA, local fish and butcher shops), Municipal Sports Center, music conservatory, dance school, African Museum, Indonesian Embassy, banks, restaurants, hair salons, major companies (Warner, Siemens, Axa, Volvo, SAP, Ibermutua), Ilunion Hotel, pharmacies, private hospitals, traffic management office, and San Juan Bautista Parish. Notable nearby locations include Arturo Soria Plaza Shopping Center, Vithas Hospital, and HM Nuevo de Belén Hospital. Its urban center location, close to all services anyone might require, makes it one of the most sought-after enclaves for those wanting to enjoy tranquility without sacrificing proximity to the amenities of a large city. The wide avenues and elegant buildings of Arturo Soria complete this prestigious area.",Ciudad Lineal
99596854,1950000,3,5,236,"Única Inmobiliaria presents an exterior property in a very good building in the Salamanca district, in the Castellana area, very close to several embassies. The residence has an area of 236 m² and is very bright as it is on the 2nd floor with a south-facing orientation. It currently consists of a living room, dining room, and an exterior office or library separated by sliding doors. The resting area is composed of 5 bedrooms, 4 of which are doubles, with the main one en suite. There is also a bedroom in the service area. The apartment includes 3 bathrooms and a spacious kitchen with an integrated office, equipped with all appliances. There are 2 entrances: the main one and the service entrance. Two direct access parking spaces are included in the price. The building has a physical doorman and easy access for people with reduced mobility. At Única Inmobiliaria, a personalized service company with over 19 years of experience and in-depth knowledge of the market in Madrid's most exclusive areas, we have a dynamic team of professionals with advanced training and experience in personal advising. Our long professional trajectory allows us to offer excellent management and find solutions to each client's needs, aiming to achieve their satisfaction and trust. At Única Inmobiliaria, every client is “Unique.” WE HAVE MORE PROPERTIES IN THIS AREA THAT ARE NOT PUBLISHED ON IDEALISTA AT THE EXPRESS REQUEST OF THE OWNERS. TO VIEW THEM, PLEASE CLICK ON THE ÚNICA LOGO OR VISIT OUR WEBSITE unicainmobiliaria.com.",Barrio de Salamanca
